Amount,Hour_of_Day,Distance_from_Home_KM,Merchant_Category,Transaction_Method,Card_Type,Recent_24h_Transactions,Risk_Score_V1,Risk_Score_V2,Is_Fraud
71.45,14.2,11.8,Dining,Online POS,Amex,5,0.252,0.085,0
13.19,10.3,3.8,Online Retail,Online POS,Mastercard,1,-1.164,0.912,0
11.9,9.5,2.6,Dining,Online POS,Discover,2,-1.051,2.749,0
6.91,20.0,4.1,Grocery,Online POS,Mastercard,4,1.32,-0.228,0
16.49,14.3,8.9,Luxury Goods,Online POS,Visa,2,-0.281,-0.183,0
54.43,13.3,0.6,Dining,ATM Cash,Visa,2,-0.643,0.493,0
33.8,16.7,22.4,Online Retail,Contactless Tap,Mastercard,4,1.765,-0.24,0
11.74,9.7,0.1,Grocery,In-Person Chip,Visa,0,0.935,0.248,0
230.43,15.5,19.5,Gas Station,Online POS,Visa,0,0.153,1.73,0
328.87,15.1,6.8,ATM Withdrawal,In-Person Chip,Amex,2,1.976,-0.175,0
7.49,15.2,6.2,Grocery,Contactless Tap,Visa,0,0.707,1.037,0
16.38,6.8,4.0,Grocery,Online POS,Mastercard,4,0.424,-0.633,0
78.79,7.6,2.1,Online Retail,Online POS,Mastercard,2,1.394,1.147,0
17.35,21.6,10.0,Electronics,Contactless Tap,Amex,2,0.387,0.499,0
70.35,14.2,8.9,Online Retail,Contactless Tap,Mastercard,2,-1.12,-2.3,0
199.43,10.9,1.0,Electronics,Contactless Tap,Amex,2,-0.151,-1.199,0
36.36,18.1,2.2,Dining,In-Person Chip,Mastercard,5,-0.611,-1.346,0
164.84,15.7,3.9,Grocery,Online POS,Mastercard,0,2.043,-0.612,0
68.92,15.7,30.9,Dining,Contactless Tap,Mastercard,2,0.459,1.104,0
42.83,13.2,4.7,Online Retail,Online POS,Mastercard,2,-2.115,0.01,0
77.48,10.4,14.6,Grocery,In-Person Chip,Mastercard,1,-1.487,0.313,0
125.24,11.0,13.8,Gas Station,In-Person Chip,Visa,2,0.126,0.915,0
18.26,11.7,9.6,Luxury Goods,In-Person Chip,Visa,2,0.309,0.992,0
53.23,9.7,1.4,Grocery,Contactless Tap,Visa,3,0.352,0.382,0
12.04,12.5,0.5,ATM Withdrawal,In-Person Chip,Mastercard,3,1.572,0.047,0
84.12,8.0,14.8,Luxury Goods,Online POS,Visa,2,1.649,-0.229,0
38.44,11.7,0.8,Online Retail,In-Person Chip,Mastercard,4,-0.236,-1.7,0
62.59,20.3,8.0,Grocery,In-Person Chip,Visa,1,-0.569,1.987,0
31.08,9.9,21.2,Dining,Contactless Tap,Visa,2,0.136,0.07,0
17.52,17.7,12.3,Grocery,Online POS,Visa,2,0.718,-0.855,0
55.16,16.6,20.5,Online Retail,Online POS,Mastercard,0,2.311,-0.245,0
46.05,15.5,9.3,Online Retail,Online POS,Mastercard,0,-0.196,0.443,0
33.2,20.3,6.3,Online Retail,Online POS,Visa,1,-0.333,-0.246,0
74.31,6.8,37.0,Electronics,Contactless Tap,Visa,0,-1.408,1.153,0
55.41,17.8,1.1,Online Retail,In-Person Chip,Mastercard,2,-0.196,-0.228,0
95.3,20.3,14.4,Travel & Airlines,Contactless Tap,Visa,3,-1.169,-0.464,0
22.62,21.0,14.5,Online Retail,Online POS,Mastercard,2,1.165,0.661,0
17.72,14.1,42.5,Grocery,ATM Cash,Mastercard,0,0.29,0.03,0
67.08,15.8,8.0,Online Retail,Contactless Tap,Visa,0,-1.143,0.009,0
47.46,19.3,9.0,Online Retail,In-Person Chip,Visa,0,1.337,0.194,0
7.81,15.2,15.8,Grocery,In-Person Chip,Visa,1,-2.156,-1.298,0
12.79,8.7,3.8,Gas Station,In-Person Chip,Visa,3,0.072,0.55,0
33.96,11.3,35.4,Grocery,In-Person Chip,Visa,2,-0.2,0.157,0
80.75,13.2,5.4,Grocery,In-Person Chip,Mastercard,1,0.762,-0.927,0
152.63,18.5,1.5,Gas Station,Contactless Tap,Visa,4,-0.592,1.676,0
71.52,12.1,27.3,Online Retail,ATM Cash,Visa,1,2.097,-1.113,0
129.2,18.5,1.4,Online Retail,Online POS,Visa,1,-1.768,-0.293,0
72.68,2.1,7.3,Grocery,Online POS,Mastercard,4,0.815,0.909,0
130.77,8.4,4.1,Dining,Contactless Tap,Mastercard,2,-0.808,-0.62,0
109.0,6.6,10.8,Online Retail,In-Person Chip,Visa,2,-0.521,0.484,0
9.84,14.2,12.7,Grocery,In-Person Chip,Visa,3,0.975,-1.387,0
10.55,14.8,25.4,Grocery,Online POS,Visa,3,2.231,-0.777,0
19.33,19.0,4.1,Grocery,Contactless Tap,Mastercard,3,-1.215,-0.195,0
43.57,0.2,1.6,Grocery,In-Person Chip,Visa,0,-1.135,-0.787,0
15.82,12.6,19.7,Online Retail,ATM Cash,Visa,2,1.339,1.739,0
18.44,16.6,40.2,Dining,Contactless Tap,Visa,2,0.228,-0.424,0
223.7,12.4,22.1,Dining,Contactless Tap,Mastercard,1,-1.435,1.156,0
143.39,14.1,7.1,Online Retail,In-Person Chip,Mastercard,2,0.95,0.359,0
32.76,14.3,12.4,Grocery,Online POS,Visa,1,-1.321,-0.469,0
241.66,20.2,5.2,Dining,In-Person Chip,Visa,3,0.35,0.566,0
141.07,17.1,22.6,Grocery,Online POS,Visa,5,0.721,1.906,0
66.56,15.2,13.6,Grocery,Online POS,Visa,1,-1.362,2.025,0
30.78,21.0,6.5,Online Retail,Online POS,Visa,3,-1.586,-1.376,0
27.4,14.1,26.3,Online Retail,In-Person Chip,Visa,0,-0.189,-1.389,0
19.09,13.3,23.1,Dining,In-Person Chip,Visa,2,-0.432,-0.523,0
16.2,8.7,5.7,Online Retail,Contactless Tap,Mastercard,0,-0.564,-0.667,0
98.84,15.2,0.9,Grocery,In-Person Chip,Mastercard,1,0.533,0.806,0
331.1,17.6,10.5,Travel & Airlines,In-Person Chip,Mastercard,2,1.959,0.581,0
45.34,11.6,11.3,Online Retail,In-Person Chip,Visa,1,-0.777,0.604,0
89.91,15.4,4.2,Online Retail,Online POS,Visa,0,-0.367,0.032,0
45.29,17.3,16.8,Online Retail,Online POS,Amex,3,-0.246,0.1,0
10.05,15.1,17.2,Gas Station,Contactless Tap,Visa,4,-0.982,1.776,0
71.71,11.9,18.9,Luxury Goods,In-Person Chip,Visa,2,0.05,0.728,0
14.25,11.3,2.6,Dining,Contactless Tap,Visa,2,-0.812,-0.859,0
18.65,16.2,3.1,Online Retail,Online POS,Visa,2,0.388,-0.803,0
66.24,17.3,4.0,Grocery,Contactless Tap,Mastercard,0,-0.404,-0.206,0
5.65,20.4,0.6,Grocery,Online POS,Visa,2,-1.07,2.333,0
22.13,16.7,44.1,Grocery,Online POS,Mastercard,3,-1.345,0.257,0
5.19,16.5,23.8,Online Retail,Online POS,Visa,1,-1.702,1.171,0
22.09,11.8,8.2,Dining,In-Person Chip,Discover,2,-1.679,-1.739,0
24.74,20.4,17.1,Electronics,Online POS,Amex,2,-1.117,1.009,0
286.19,1.3,10.3,Gas Station,In-Person Chip,Mastercard,3,-0.865,-0.409,0
34.11,14.6,14.3,Dining,In-Person Chip,Mastercard,2,-2.075,0.319,0
118.59,13.7,7.8,Online Retail,In-Person Chip,Visa,3,2.113,-0.295,0
26.59,17.4,4.6,Gas Station,In-Person Chip,Mastercard,1,-0.563,-1.422,0
36.66,14.2,2.0,Grocery,Online POS,Mastercard,0,2.438,-0.269,0
29.83,13.3,34.8,Grocery,Contactless Tap,Visa,2,-0.29,-1.717,0
22.24,9.9,20.4,Online Retail,Contactless Tap,Visa,4,2.951,0.952,0
67.82,11.6,6.8,Online Retail,Online POS,Discover,4,-1.999,-1.475,0
37.14,16.3,22.2,Online Retail,In-Person Chip,Visa,2,-1.351,0.516,0
74.11,13.2,29.9,Travel & Airlines,Online POS,Mastercard,0,0.637,0.45,0
73.05,6.8,21.9,Grocery,Contactless Tap,Visa,3,0.125,-0.338,0
58.58,19.8,18.5,Grocery,In-Person Chip,Discover,2,-0.727,2.137,0
33.62,18.9,14.2,Grocery,Contactless Tap,Mastercard,2,0.177,-0.003,0
60.17,21.9,3.3,Electronics,In-Person Chip,Visa,1,-1.569,0.671,0
65.64,22.9,17.6,Grocery,In-Person Chip,Visa,3,-0.156,0.471,0
60.11,14.0,4.8,Grocery,In-Person Chip,Visa,1,-0.343,-1.721,0
58.44,10.4,18.2,Electronics,In-Person Chip,Visa,1,-0.172,0.062,0
21.83,12.6,0.3,Gas Station,In-Person Chip,Mastercard,1,-0.904,2.782,0
29.26,12.7,14.9,Dining,In-Person Chip,Visa,3,-0.28,1.527,0
94.82,14.4,4.5,Online Retail,In-Person Chip,Mastercard,1,-1.489,0.191,0
20.22,12.6,12.9,Online Retail,Online POS,Amex,2,0.333,-0.621,0
51.64,7.5,13.3,Dining,Online POS,Mastercard,2,0.651,-1.312,0
15.52,17.4,6.6,Grocery,In-Person Chip,Visa,1,1.284,0.576,0
8.54,18.4,23.7,Grocery,Contactless Tap,Visa,1,-0.439,1.437,0
69.57,12.3,2.4,Grocery,In-Person Chip,Amex,1,1.061,0.922,0
13.59,17.0,6.0,Online Retail,In-Person Chip,Mastercard,3,0.787,1.493,0
28.0,15.2,5.8,Grocery,In-Person Chip,Visa,1,0.927,-0.352,0
113.79,16.7,0.3,ATM Withdrawal,In-Person Chip,Visa,1,1.02,-1.914,0
15.09,14.5,0.5,Online Retail,In-Person Chip,Visa,3,0.872,1.504,0
103.25,13.5,20.7,Dining,Online POS,Visa,0,-0.627,0.662,0
101.22,20.4,6.3,Gas Station,Contactless Tap,Visa,4,-1.084,1.39,0
39.5,11.4,11.3,Grocery,Online POS,Mastercard,2,-0.456,0.447,0
86.95,22.5,2.1,Grocery,In-Person Chip,Visa,1,-2.442,0.731,0
92.22,19.2,4.4,Grocery,In-Person Chip,Visa,3,0.534,-0.648,0
14.5,6.7,3.3,Grocery,Contactless Tap,Mastercard,3,0.388,-1.446,0
16.8,12.5,14.8,Grocery,In-Person Chip,Mastercard,3,-0.449,-0.686,0
284.94,8.2,13.3,Electronics,In-Person Chip,Amex,5,0.36,1.9,0
11.95,12.2,25.4,Gas Station,Online POS,Mastercard,2,-1.56,-2.606,0
22.5,17.8,3.6,Grocery,Online POS,Visa,1,1.236,0.019,0
33.39,5.8,3.9,Grocery,Online POS,Mastercard,1,1.729,1.523,0
16.68,14.1,18.2,Online Retail,Online POS,Mastercard,0,0.335,1.153,0
20.58,10.3,10.3,Gas Station,In-Person Chip,Mastercard,0,0.503,3.615,0
71.71,16.7,7.1,Dining,In-Person Chip,Visa,1,2.457,0.104,0
39.08,12.5,1.9,Grocery,In-Person Chip,Mastercard,1,-0.352,-1.028,0
294.77,5.4,0.3,Grocery,Online POS,Mastercard,1,0.762,-0.424,0
35.99,14.2,7.5,Grocery,In-Person Chip,Visa,3,2.534,-0.686,0
14.54,12.5,0.9,Dining,Online POS,Visa,2,-0.546,0.41,0
4.12,14.7,5.7,Travel & Airlines,In-Person Chip,Visa,1,-0.073,0.828,0
6.23,12.3,7.1,Online Retail,Online POS,Visa,2,-0.419,1.25,0
22.6,9.5,0.1,Grocery,Online POS,Visa,0,1.683,2.227,0
78.16,14.3,24.9,Online Retail,Contactless Tap,Mastercard,0,0.476,0.025,0
315.17,9.4,10.7,Gas Station,Online POS,Visa,2,0.629,0.448,0
88.89,19.7,1.8,Dining,In-Person Chip,Visa,1,-0.157,0.335,0
75.14,19.5,4.3,Travel & Airlines,Online POS,Visa,2,-0.67,0.139,0
43.78,9.2,2.9,ATM Withdrawal,Contactless Tap,Mastercard,4,2.15,1.998,0
89.83,13.2,9.4,Dining,In-Person Chip,Visa,3,-0.455,-1.283,0
9.53,12.1,8.5,Dining,In-Person Chip,Visa,1,1.492,0.858,0
17.54,0.0,5.9,ATM Withdrawal,Contactless Tap,Amex,3,-0.634,0.308,0
74.12,17.2,2.9,Grocery,Online POS,Visa,3,-0.012,-1.058,0
19.09,13.4,0.9,Online Retail,Online POS,Mastercard,3,1.771,0.565,0
22.05,14.6,11.5,Dining,In-Person Chip,Mastercard,2,0.937,0.164,0
24.44,21.9,48.7,Online Retail,In-Person Chip,Visa,2,-0.255,0.141,0
68.67,13.6,0.5,Dining,In-Person Chip,Visa,2,0.535,-1.992,0
24.48,10.0,1.3,Dining,In-Person Chip,Mastercard,1,-0.109,0.591,0
82.13,18.2,0.3,Online Retail,Contactless Tap,Discover,1,-0.138,-1.389,0
71.63,9.0,1.5,Gas Station,In-Person Chip,Visa,1,-1.065,1.015,0
161.8,16.0,6.1,Dining,Online POS,Mastercard,2,1.39,1.534,0
98.53,15.3,10.6,Grocery,Online POS,Visa,3,-0.078,1.784,0
66.63,13.7,11.0,Grocery,In-Person Chip,Amex,0,-0.78,0.893,0
37.74,17.7,3.7,Dining,In-Person Chip,Visa,2,-0.015,0.478,0
26.76,21.2,0.8,Dining,In-Person Chip,Visa,1,2.045,-0.064,0
113.23,22.8,7.6,Gas Station,Online POS,Mastercard,1,0.854,-0.858,0
28.5,6.2,46.2,Online Retail,In-Person Chip,Visa,3,-0.153,-1.248,0
22.26,11.8,3.4,Luxury Goods,Contactless Tap,Visa,0,-0.617,-0.21,0
29.45,5.6,2.0,Travel & Airlines,Online POS,Mastercard,5,0.086,0.858,0
48.23,19.6,42.4,Grocery,In-Person Chip,Discover,1,-1.103,-0.478,0
24.37,13.1,27.5,Gas Station,Contactless Tap,Visa,3,1.393,-0.894,0
50.81,8.7,11.0,Grocery,Online POS,Mastercard,1,-0.608,-0.422,0
122.67,12.6,13.1,Online Retail,Contactless Tap,Mastercard,1,1.095,0.248,0
19.17,14.3,1.8,Online Retail,Contactless Tap,Visa,2,1.313,2.07,0
31.7,13.6,13.4,Online Retail,In-Person Chip,Visa,1,1.804,-1.343,0
96.99,16.4,2.2,Electronics,Online POS,Visa,1,0.407,0.563,0
80.33,14.1,3.0,Dining,Online POS,Visa,3,1.088,-2.338,0
27.37,9.3,1.9,Dining,Contactless Tap,Amex,1,-0.829,0.662,0
15.16,16.3,3.6,Gas Station,Online POS,Mastercard,1,-1.377,1.643,0
33.84,12.1,41.2,Grocery,Online POS,Visa,3,-0.789,-1.785,0
49.37,19.8,4.2,ATM Withdrawal,Contactless Tap,Mastercard,3,0.234,-2.377,0
592.04,11.2,20.7,Travel & Airlines,In-Person Chip,Discover,0,-0.9,0.755,0
134.13,14.0,5.6,Online Retail,In-Person Chip,Mastercard,2,2.475,1.842,0
5.9,11.8,21.2,Gas Station,Online POS,Mastercard,2,-0.456,0.629,0
37.54,17.2,5.7,Electronics,In-Person Chip,Visa,2,0.468,0.376,0
95.54,15.8,7.4,Grocery,Contactless Tap,Discover,2,-0.749,1.108,0
61.76,4.1,0.2,Grocery,Online POS,Mastercard,1,1.066,-1.209,0
64.55,18.0,10.2,Grocery,In-Person Chip,Visa,3,-0.739,-0.915,0
41.15,12.8,8.9,Grocery,Contactless Tap,Mastercard,1,-2.742,-2.377,0
13.33,7.6,7.3,Grocery,Online POS,Visa,3,-1.558,0.511,0
40.91,15.9,5.1,Gas Station,In-Person Chip,Mastercard,2,0.962,0.499,0
33.43,14.6,19.3,Travel & Airlines,Contactless Tap,Discover,0,1.864,-0.849,0
62.95,14.2,20.4,Luxury Goods,Online POS,Discover,4,-1.048,2.267,0
28.56,15.3,4.7,ATM Withdrawal,Online POS,Mastercard,2,0.29,1.049,0
96.86,14.1,2.3,Online Retail,Contactless Tap,Visa,1,-1.645,1.608,0
28.6,15.3,1.3,Online Retail,ATM Cash,Visa,1,1.104,0.086,0
20.7,20.4,16.9,ATM Withdrawal,In-Person Chip,Discover,1,1.423,0.932,0
37.06,17.9,11.7,Dining,Online POS,Visa,0,0.579,-0.689,0
4.11,20.6,20.8,Gas Station,Online POS,Visa,0,0.362,-0.366,0
43.25,12.8,6.3,Grocery,Online POS,Visa,4,-1.125,1.115,0
82.2,11.0,8.8,Dining,In-Person Chip,Discover,1,-2.733,1.026,0
433.74,11.1,6.2,Electronics,Online POS,Visa,1,-0.596,-0.551,0
24.05,14.5,6.2,Gas Station,In-Person Chip,Amex,3,0.384,-1.407,0
79.03,12.7,5.7,Online Retail,In-Person Chip,Mastercard,3,2.525,1.361,0
210.85,15.0,7.3,Grocery,In-Person Chip,Mastercard,0,0.443,-0.925,0
16.57,22.5,8.8,Dining,Online POS,Discover,0,-0.18,-0.484,0
35.75,15.0,5.9,Dining,Contactless Tap,Mastercard,2,-0.407,-1.678,0
53.31,5.2,3.7,Electronics,In-Person Chip,Visa,2,0.242,0.353,0
125.14,16.5,13.7,Online Retail,Online POS,Visa,1,0.139,-1.161,0
106.7,9.8,16.0,Gas Station,Online POS,Visa,2,0.166,-1.944,0
95.28,9.7,1.3,Grocery,In-Person Chip,Visa,0,0.417,1.935,0
50.87,14.3,5.3,Dining,In-Person Chip,Mastercard,1,0.728,1.1,0
58.41,12.0,1.5,Online Retail,Online POS,Visa,1,-0.184,-0.983,0
250.4,18.1,16.3,ATM Withdrawal,In-Person Chip,Mastercard,1,-0.496,-1.104,0
22.76,2.1,7.0,Grocery,In-Person Chip,Visa,1,-0.255,1.212,0
35.89,15.1,17.1,Travel & Airlines,Online POS,Visa,1,-0.175,2.255,0
26.78,18.5,31.0,Grocery,Contactless Tap,Visa,0,1.451,2.146,0
8.9,15.5,2.3,Grocery,Online POS,Visa,2,0.143,-0.345,0
195.89,18.1,40.2,ATM Withdrawal,Contactless Tap,Mastercard,0,0.434,-0.026,0
11.21,19.7,26.7,Online Retail,In-Person Chip,Visa,3,-1.669,-0.599,0
12.56,11.3,8.3,Grocery,Online POS,Amex,4,-1.827,1.685,0
126.26,13.9,4.2,Online Retail,Contactless Tap,Visa,2,1.415,1.586,0
19.19,1.0,5.6,Grocery,Online POS,Mastercard,0,0.238,-0.464,0
104.94,11.8,3.6,Dining,Contactless Tap,Mastercard,3,1.433,1.818,0
22.15,15.3,18.2,Dining,Contactless Tap,Visa,2,-0.43,-2.338,0
59.87,9.2,2.0,Dining,In-Person Chip,Visa,4,1.747,0.884,0
254.92,10.3,0.4,Grocery,ATM Cash,Amex,1,1.266,-2.169,0
77.62,10.3,4.0,Grocery,In-Person Chip,Discover,0,1.252,-2.221,0
26.87,16.7,6.4,Dining,Contactless Tap,Visa,2,-0.669,0.631,0
16.94,0.7,5.4,Dining,Contactless Tap,Visa,0,0.313,0.847,0
69.87,15.3,29.6,Online Retail,In-Person Chip,Visa,0,-0.316,1.075,0
40.15,18.7,7.5,Grocery,In-Person Chip,Visa,6,-0.124,0.532,0
41.44,15.1,1.1,Electronics,In-Person Chip,Amex,0,1.75,-1.811,0
34.6,13.9,3.4,Online Retail,Contactless Tap,Amex,2,0.704,-0.594,0
52.49,20.0,0.8,Dining,In-Person Chip,Visa,0,-0.071,-0.547,0
17.47,16.6,19.8,Grocery,Online POS,Visa,4,0.089,-1.216,0
15.97,20.9,0.9,Online Retail,Contactless Tap,Amex,1,-0.208,1.043,0
10.59,16.8,8.3,Online Retail,Online POS,Mastercard,2,-2.411,1.363,0
10.63,16.6,71.5,Grocery,ATM Cash,Visa,2,0.918,0.476,0
5.63,11.7,0.9,Grocery,In-Person Chip,Mastercard,3,0.707,-0.076,0
48.56,13.5,4.1,Online Retail,In-Person Chip,Visa,0,0.73,0.952,0
64.93,15.4,27.2,Dining,Online POS,Mastercard,2,-0.675,0.082,0
3.96,6.7,23.1,ATM Withdrawal,Online POS,Visa,3,-1.316,-0.774,0
212.47,17.6,59.1,ATM Withdrawal,Online POS,Visa,3,0.233,1.38,0
109.6,11.7,7.3,Grocery,Contactless Tap,Visa,2,-0.853,-2.413,0
6.91,18.3,9.2,Grocery,In-Person Chip,Mastercard,3,0.265,-1.701,0
244.11,17.5,19.4,Online Retail,Contactless Tap,Amex,2,0.331,-0.07,0
15.16,7.2,5.0,Dining,Online POS,Visa,5,0.884,1.751,0
16.8,16.6,1.9,Online Retail,ATM Cash,Visa,1,-0.119,-0.408,0
12.03,16.6,11.7,Online Retail,Online POS,Amex,3,-1.472,4.313,0
110.38,16.8,15.0,Electronics,In-Person Chip,Visa,2,0.678,-0.135,0
17.96,20.5,23.8,Grocery,Online POS,Visa,4,-0.556,0.31,0
133.23,6.4,19.1,Gas Station,Online POS,Mastercard,2,-0.067,0.654,0
80.61,10.8,18.4,ATM Withdrawal,Contactless Tap,Visa,1,-0.64,0.336,0
26.32,15.2,7.1,Dining,In-Person Chip,Mastercard,0,0.118,-0.173,0
43.18,8.5,10.7,Electronics,In-Person Chip,Visa,2,-0.485,-0.974,0
142.11,3.4,12.3,Gas Station,In-Person Chip,Amex,5,0.708,1.486,0
7.85,11.2,13.6,ATM Withdrawal,Online POS,Visa,1,0.243,0.92,0
64.44,18.0,14.4,Gas Station,Online POS,Mastercard,1,-1.514,-1.64,0
23.87,7.9,37.6,Electronics,Online POS,Visa,1,-3.243,0.248,0
109.14,12.5,43.1,Gas Station,In-Person Chip,Visa,0,0.757,-3.14,0
63.42,14.7,4.0,Gas Station,Contactless Tap,Mastercard,1,0.33,-0.468,0
115.11,14.1,9.4,Grocery,Online POS,Visa,1,-0.495,0.612,0
45.03,8.3,6.6,Grocery,In-Person Chip,Amex,1,0.219,-1.564,0
46.46,8.1,14.0,Grocery,In-Person Chip,Mastercard,2,0.22,0.61,0
16.94,10.0,3.9,Online Retail,In-Person Chip,Amex,3,0.616,-0.512,0
19.52,10.8,2.9,Grocery,Online POS,Visa,1,-1.797,-0.537,0
29.82,10.4,5.6,Grocery,Contactless Tap,Mastercard,2,-1.396,-0.101,0
43.98,7.2,77.1,Travel & Airlines,In-Person Chip,Visa,2,0.768,-0.132,0
28.71,14.5,9.3,Online Retail,In-Person Chip,Visa,5,1.702,0.289,0
9.66,14.9,23.0,Grocery,Online POS,Discover,2,-0.967,0.751,0
208.95,9.0,1.7,Electronics,Online POS,Visa,0,0.016,-1.683,0
191.64,14.9,18.3,Grocery,Online POS,Amex,2,-0.111,0.902,0
147.12,14.1,53.4,Grocery,In-Person Chip,Mastercard,6,0.602,-3.548,0
32.37,12.6,12.4,Grocery,In-Person Chip,Visa,5,0.739,-1.083,0
71.75,17.2,8.7,Dining,In-Person Chip,Mastercard,1,2.233,-0.196,0
73.07,8.9,21.1,Grocery,Contactless Tap,Mastercard,4,-0.723,0.214,0
57.83,18.0,3.7,Electronics,In-Person Chip,Visa,4,0.299,-1.388,0
90.65,15.3,28.2,Dining,In-Person Chip,Discover,3,0.131,0.625,0
43.27,14.6,4.9,Grocery,Contactless Tap,Amex,2,-0.223,-2.539,0
68.15,13.4,3.2,Dining,In-Person Chip,Discover,0,0.978,1.322,0
41.61,16.2,0.3,Grocery,Contactless Tap,Mastercard,2,-1.037,-0.952,0
97.04,4.5,22.1,Gas Station,Online POS,Discover,3,-0.626,-0.22,0
18.04,14.2,3.0,Online Retail,Contactless Tap,Mastercard,1,-2.246,0.418,0
10.52,19.9,12.5,Grocery,In-Person Chip,Mastercard,3,-2.595,-3.134,0
236.04,14.0,6.3,Dining,Online POS,Visa,2,-0.474,0.151,0
168.71,16.7,2.3,Gas Station,Online POS,Visa,2,0.238,0.634,0
171.64,15.5,18.2,Gas Station,Contactless Tap,Mastercard,0,-1.47,0.733,0
67.29,11.9,7.6,Online Retail,In-Person Chip,Mastercard,1,-0.428,-1.853,0
20.01,4.0,11.2,Grocery,Online POS,Visa,1,1.06,-0.501,0
66.51,7.4,1.4,Online Retail,In-Person Chip,Mastercard,2,-0.954,1.862,0
5.76,10.0,1.6,Grocery,In-Person Chip,Visa,3,-0.694,0.446,0
40.2,17.0,13.6,Grocery,Contactless Tap,Mastercard,1,1.573,0.093,0
20.64,7.1,13.0,Grocery,In-Person Chip,Visa,0,-1.352,-0.37,0
27.61,13.1,1.0,Grocery,In-Person Chip,Visa,2,0.937,-0.974,0
11.93,17.0,71.4,Grocery,Online POS,Visa,1,0.145,-1.955,0
547.55,19.8,6.1,Online Retail,Online POS,Mastercard,2,-0.969,-0.764,0
172.92,11.6,12.4,Online Retail,In-Person Chip,Discover,3,1.812,0.452,0
10.02,12.1,3.4,Gas Station,Online POS,Amex,3,0.352,1.917,0
35.06,18.5,17.1,Dining,Contactless Tap,Visa,2,0.359,2.64,0
